Sl_No,Company Name,First Name ,Last Name,Job_Title,Email,Phone_Number,City,State,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
3,C1,F1,L1,J1,E1,P1,C1,S1,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
6,C2,F2,L2,J2,E2,P2,C2,S2,Existing,Wrong POC,Phone,5,,Direct Line,Not Important,No
11,C3,F3,L3,J3,E3,P3,C3,S3,Existing,Wrong POC,,3,,Reception,Not Sure,No
17,C4,F4,L4,J4,E4,P4,C4,S4,Existing,No response,,2,,Invalid,Not Sure,No
9,C5,F5,L5,J5,E5,P5,C5,S5,Existing,No response,,1,,Direct Line,Important,Not Sure
1366,C6,F6,L6,J6,E6,P6,C6,S6,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,C7,F7,L7,J7,E7,P7,C7,S7,New,Wrong POC,,2,,Reception,Not Important,Not Sure
,C8,F8,L8,J8,E8,P8,C8,S8,,No response,,1,,Reception,Not Important,
16,C9,F9,L9,J9,E9,P9,C9,S9,Existing,Not Interested,,1,,Direct Line,Not Important,Not Sure
,C10,F10,L10,J10,E10,P10,C10,S10,New,Not Interested,,1,,Direct Line,Important,Not Sure
1328,C11,F11,L11,J11,E11,P11,C11,S11,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
8,C12,F12,L12,J12,E12,P12,C12,S12,Existing,No response,,3,,Direct Line,Not Important,Not Sure
4,C13,F13,L13,J13,E13,P13,C13,S13,Existing,Not Interested,,1,,Not Sure,Important,Not Sure
5,C14,F14,L14,J14,E14,P14,C14,S14,Existing,No response,,1,,Not Sure,Important,Not Sure
15,C15,F15,L15,J15,E15,P15,C15,S15,Existing,Wrong POC,,2,,Reception,Not Important,Not Sure
,C16,F16,L16,J16,E16,P16,C16,S16,New,No response,,5,,Reception,Not Sure,Not Sure
7,C17,F17,L17,J17,E17,P17,C17,S17,Existing,No response,,3,,Reception,Not Sure,Not Sure
10,C18,F18,L18,J18,E18,P18,C18,S18,Existing,No response,,3,,Reception,Not Sure,Not Sure
12,C19,F19,L19,J19,E19,P19,C19,S19,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
18,C20,F20,L20,J20,E20,P20,C20,S20,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
19,C21,F21,L21,J21,E21,P21,C21,S21,Existing,Not Interested,,4,,Reception,Not Sure,Not Sure
1293,C22,F22,L22,J22,E22,P22,C22,S22,Existing,No response,,2,,Invalid,Not Sure,No
20,C23,F23,L23,J23,E23,P23,C23,S23,Existing,Wrong POC,,1,,Direct Line,Not Important,Not Sure
21,C24,F24,L24,J24,E24,P24,C24,S24,Existing,No response,,3,,Reception,Not Sure,Not Sure
22,C25,F25,L25,J25,E25,P25,C25,S25,Existing,No response,,1,,Direct Line,Important,Not Sure
23,C26,F26,L26,J26,E26,P26,C26,S26,Existing,Wrong POC,,2,,Reception,Not Important,Not Sure
,C27,F27,L27,J27,E27,P27,C27,S27,New,Lead,,5,Cold,Direct Line,Important,Yes
24,C28,F28,L28,J28,E28,P28,C28,S28,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
1,C29,F29,L29,J29,E29,P29,C29,S29,Existing,No response,VM/Email,4,,Direct Line,Not Important,Not Sure
2,C30,F30,L30,J30,E30,P30,C30,S30,Existing,Not Interested,,2,,Direct Line,Not Important,Not Sure
25,C31,F31,L31,J31,E31,P31,C31,S31,Existing,Not Interested,,2,,Reception,Important,Not Sure
28,C32,F32,L32,J32,E32,P32,C32,S32,Existing,No response,,2,,Invalid,Not Sure,Not Sure
1294,C33,F33,L33,J33,E33,P33,C33,S33,Existing,No response,,,,Reception,Not Important,Not Sure
26,C34,F34,L34,J34,E34,P34,C34,S34,Existing,No response,,1,,Reception,Important,Not Sure
27,C35,F35,L35,J35,E35,P35,C35,S35,Existing,No response,,,,Reception,,Not Sure
31,C36,F36,L36,J36,E36,P36,C36,S36,Existing,No response,,1,,Direct Line,Important,Not Sure
32,C37,F37,L37,J37,E37,P37,C37,S37,Existing,No response,,1,,Direct Line,Important,Not Sure
29,C38,F38,L38,J38,E38,P38,C38,S38,Existing,Not Interested,,4,,Reception,Important,Not Sure
30,C39,F39,L39,J39,E39,P39,C39,S39,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
33,C40,F40,L40,J40,E40,P40,C40,S40,Existing,Wrong POC,,1,,Not Sure,Not Important,Not Sure
34,C41,F41,L41,J41,E41,P41,C41,S41,Existing,No response,,1,,Direct Line,Important,Not Sure
35,C42,F42,L42,J42,E42,P42,C42,S42,Existing,Not Interested,,1,,Direct Line,Important,Not Sure
36,C43,F43,L43,J43,E43,P43,C43,S43,Existing,Wrong POC,,1,,Invalid,Not Important,No
,C44,F44,L44,J44,E44,P44,C44,S44,New,Not Interested,,1,,Direct Line,Important,Not Sure
37,C45,F45,L45,J45,E45,P45,C45,S45,Existing,No response,,3,,Reception,Not Sure,Not Sure
1297,C46,F46,L46,J46,E46,P46,C46,S46,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,C47,F47,L47,J47,E47,P47,C47,S47,New,No response,,3,,Reception,Not Sure,Not Sure
1204,C48,F48,L48,J48,E48,P48,C48,S48,Existing,Not Interested,,1,,Reception,Important,Not Sure
38,C49,F49,L49,J49,E49,P49,C49,S49,Existing,Wrong POC,VM/Email,2,,Reception,Not Important,Not Sure
39,C50,F50,L50,J50,E50,P50,C50,S50,Existing,Wrong POC,VM/Email,1,,Reception,Not Important,Not Sure
40,C51,F51,L51,J51,E51,P51,C51,S51,Existing,Not Interested,,2,,Invalid,Not Sure,Yes
41,C52,F52,L52,J52,E52,P52,C52,S52,New,Not Interested,,4,,Reception,Not Sure,Not Sure
42,C53,F53,L53,J53,E53,P53,C53,S53,Existing,Not Interested,,,,Repeat Number,Not Sure,Yes
43,C54,F54,L54,J54,E54,P54,C54,S54,Existing,Lead,,3,Hot,Direct Line,Important,Not Sure
44,C55,F55,L55,J55,E55,P55,C55,S55,Existing,Wrong POC,,,,Direct Line,Not Important,Not Sure
45,C56,F56,L56,J56,E56,P56,C56,S56,Existing,Wrong POC,,,,Direct Line,Not Important,Not Sure
46,C57,F57,L57,J57,E57,P57,C57,S57,Existing,No response,VM/Email,3,,Direct Line,Not Sure,Not Sure
1311,C58,F58,L58,J58,E58,P58,C58,S58,Existing,Not Interested,VM/Email,1,,Direct Line,Not Sure,Not Sure
1289,C59,F59,L59,J59,E59,P59,C59,S59,Existing,Not Interested,,2,,Direct Line,Important,Not Sure
47,C60,F60,L60,J60,E60,P60,C60,S60,Existing,Not Interested,,2,,Reception,Not Important,Not Sure
49,C61,F61,L61,J61,E61,P61,C61,S61,Existing,Not Interested,,1,,Reception,Not Important,Not Sure
48,C62,F62,L62,J62,E62,P62,C62,S62,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
50,C63,F63,L63,J63,E63,P63,C63,S63,Existing,No response,,3,,Reception,Not Sure,Not Sure
57,C64,F64,L64,J64,E64,P64,C64,S64,Existing,No response,,4,,Reception,Not Important,Not Sure
,C65,F65,L65,J65,E65,P65,C65,S65,New,Lead,,3,Warm,Reception,Important,Yes
58,C66,F66,L66,J66,E66,P66,C66,S66,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
62,C67,F67,L67,J67,E67,P67,C67,S67,Existing,No response,,3,,Reception,Not Sure,Not Sure
64,C68,F68,L68,J68,E68,P68,C68,S68,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
59,C69,F69,L69,J69,E69,P69,C69,S69,Existing,No response,,2,,Reception,Not Sure,No
65,C70,F70,L70,J70,E70,P70,C70,S70,Existing,No response,,3,,Reception,Not Sure,No
60,C71,F71,L71,J71,E71,P71,C71,S71,Existing,No response,,2,,Invalid,,Not Sure
61,C72,F72,L72,J72,E72,P72,C72,S72,Existing,Not Interested,VM/Email,2,,Direct Line,Not Sure,Not Sure
63,C73,F73,L73,J73,E73,P73,C73,S73,Existing,Not Interested,VM/Email,2,,Reception,Not Sure,Not Sure
66,C74,F74,L74,J74,E74,P74,C74,S74,Existing,Not Interested,VM/Email,2,,Direct Line,Not Important,Not Sure
,C75,F75,L75,J75,E75,P75,C75,S75,New,Not Interested,,1,,Direct Line,Important,Not Sure
67,C76,F76,L76,J76,E76,P76,C76,S76,Existing,Not Interested,VM/Email,1,,Direct Line,Not Important,Not Sure
68,C77,F77,L77,J77,E77,P77,C77,S77,Existing,No response,VM/Email,3,,Reception,Not Important,Not Sure
69,C78,F78,L78,J78,E78,P78,C78,S78,Existing,No response,,,,Repeat Number,,Not Sure
70,C79,F79,L79,J79,E79,P79,C79,S79,Existing,No response,,,,Repeat Number,,Not Sure
71,C80,F80,L80,J80,E80,P80,C80,S80,Existing,No response,,2,,Invalid,Not Sure,Not Sure
72,C81,F81,L81,J81,E81,P81,C81,S81,Existing,No response,,1,, ,,Not Sure
73,C82,F82,L82,J82,E82,P82,C82,S82,Existing,Wrong POC,Phone,2,,Reception,Not Important,Not Sure
74,C83,F83,L83,J83,E83,P83,C83,S83,Existing,No response,,3,,Reception,Important,Not Sure
75,C84,F84,L84,J84,E84,P84,C84,S84,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
1242,C85,F85,L85,J85,E85,P85,C85,S85,Existing,No response,,3,,Reception,Not Sure,No
1296,C86,F86,L86,J86,E86,P86,C86,S86,Existing,No response,,3,,Reception,Not Sure,No
52,C87,F87,L87,J87,E87,P87,C87,S87,Existing,No response,,2,,Invalid,Not Sure,Not Sure
51,C88,F88,L88,J88,E88,P88,C88,S88,Existing,Not Interested,,2,,Reception,Not Sure,Not Sure
,C89,F89,L89,J89,E89,P89,C89,S89,New,Not Interested,,1,,Direct Line,Important,Not Sure
53,C90,F90,L90,J90,E90,P90,C90,S90,Existing,No response,,3,,Reception,Not Sure,Not Sure
,C91,F91,L91,J91,E91,P91,C91,S91,New,No response,,3,,Reception,Not Sure,Not Sure
1341,C92,F92,L92,J92,E92,P92,C92,S92,Existing,No response,,3,,Reception,Not Sure,Not Sure
54,C93,F93,L93,J93,E93,P93,C93,S93,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
56,C94,F94,L94,J94,E94,P94,C94,S94,Existing,No response,,3,,Reception,Important,Not Sure
55,C95,F95,L95,J95,E95,P95,C95,S95,Existing,Wrong POC,VM/Email,1,,Reception,Not Important,Not Sure
79,C96,F96,L96,J96,E96,P96,C96,S96,Existing,No response,,3,,Reception,Not Sure,Not Sure
80,C97,F97,L97,J97,E97,P97,C97,S97,Existing,Not Interested,,2,Cold,Direct Line,Important,Not Sure
76,C98,F98,L98,J98,E98,P98,C98,S98,Existing,No response,,1,, ,,Not Sure
77,C99,F99,L99,J99,E99,P99,C99,S99,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
78,C100,F100,L100,J100,E100,P100,C100,S100,Existing,No response,,1,,Invalid,Not Sure,Not Sure
81,C101,F101,L101,J101,E101,P101,C101,S101,Existing,Not Interested,,1,,Direct Line,Important,Yes
83,C102,F102,L102,J102,E102,P102,C102,S102,Existing,No response,,1,, ,,Not Sure
82,C103,F103,L103,J103,E103,P103,C103,S103,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
,C104,F104,L104,J104,E104,P104,C104,S104,New,Wrong POC,,3,,Reception,Not Important,Yes
,C105,F105,L105,J105,E105,P105,C105,S105,New,Wrong POC,Phone,2,,Direct Line,Not Important,Not Sure
84,C106,F106,L106,J106,E106,P106,C106,S106,Existing,No response,,3,,Direct Line,Important,Not Sure
85,C107,F107,L107,J107,E107,P107,C107,S107,Existing,Wrong POC,,3,,Direct Line,Not Sure,Not Sure
87,C108,F108,L108,J108,E108,P108,C108,S108,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
89,C109,F109,L109,J109,E109,P109,C109,S109,Existing,Wrong POC,,3,,Reception,Not Sure,No
86,C110,F110,L110,J110,E110,P110,C110,S110,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
88,C111,F111,L111,J111,E111,P111,C111,S111,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
91,C112,F112,L112,J112,E112,P112,C112,S112,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
90,C113,F113,L113,J113,E113,P113,C113,S113,Existing,No response,,3,,Reception,Important,Not Sure
92,C114,F114,L114,J114,E114,P114,C114,S114,Existing,No response,,3,,Reception,Not Sure,Not Sure
93,C115,F115,L115,J115,E115,P115,C115,S115,Existing,No response,,3,,Reception,Important,Not Sure
94,C116,F116,L116,J116,E116,P116,C116,S116,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
95,C117,F117,L117,J117,E117,P117,C117,S117,Existing,Wrong POC,,1,,Invalid,Not Important,Not Sure
96,C118,F118,L118,J118,E118,P118,C118,S118,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
97,C119,F119,L119,J119,E119,P119,C119,S119,Existing,Wrong POC,,,,Repeat Number,Not Important,Not Sure
98,C120,F120,L120,J120,E120,P120,C120,S120,Existing,Wrong POC,,1,,Repeat Number,Not Important,Not Sure
99,C121,F121,L121,J121,E121,P121,C121,S121,Existing,Wrong POC,,1,,Repeat Number,Not Important,Not Sure
100,C122,F122,L122,J122,E122,P122,C122,S122,Existing,Wrong POC,,1,,Repeat Number,Not Important,Not Sure
,C123,F123,L123,J123,E123,P123,C123,S123,New,No response,,3,,Direct Line,Not Sure,Not Sure
107,C124,F124,L124,J124,E124,P124,C124,S124,Existing,Open,,,, ,,Not Sure
108,C125,F125,L125,J125,E125,P125,C125,S125,Existing,Open,,,, ,,Not Sure
111,C126,F126,L126,J126,E126,P126,C126,S126,Existing,No response,,1,,Direct Line,Important,Not Sure
113,C127,F127,L127,J127,E127,P127,C127,S127,Existing,Wrong POC,,,,Direct Line,Not Important,Not Sure
1336,C128,F128,L128,J128,E128,P128,C128,S128,Existing,No response,,1,,Invalid,Not Sure,Not Sure
